month,dayofmonth,hourofday,hour,mwh2123,mwh2120,mwh2137,mwh2059,mwh2141,mwh2142,mwh2129,mwh2158,mwh2130,mwh2146,mth2123,mth2120,mth2137,mth2059,mth2141,mth2142,mth2129,mth2158,mth2130,mth2146
6,26,9,34,14.915175,15.56184167,16.148675,15.20734167,13.585425,13.43375,14.66263333,16.29183333,14.154375,15.76833333,35.9075,36.31583333,35.85083333,35.72583333,35.65083333,35.72666667,35.96416667,36.08166667,35.80166667,35.97583333
6,26,10,35,14.92213333,15.56430833,16.16603333,15.22178333,13.586125,13.44031667,14.6865,16.29965833,14.155725,15.77066667,35.95833333,36.3675,35.88916667,35.68666667,35.68583333,35.65916667,36.0475,36.0825,35.7625,35.96916667
6,26,11,36,14.92575,15.563875,16.1761,15.23625833,13.58836667,13.44388333,14.695125,16.30515,14.15716667,15.77430833,35.9975,36.32583333,35.86666667,35.69333333,35.685,35.64416667,35.98,36.07416667,35.67583333,35.91833333
6,26,12,37,14.92981667,15.58221667,16.19648333,15.26468333,13.59029167,13.45963333,14.721625,16.31974167,14.159375,15.77236667,35.98,36.23416667,35.86666667,35.73916667,35.52,35.6825,35.99,36.17916667,35.65166667,36
6,26,13,38,14.938,15.59383333,16.20640833,15.28525833,13.59156667,13.46794167,14.74125833,16.32898333,14.160275,15.76469167,35.89833333,35.87916667,35.73583333,35.77666667,35.4475,35.32416667,35.7825,35.91833333,35.475,35.72583333
6,26,14,39,14.94014167,15.590625,16.20335833,15.27085,13.58971667,13.46419167,14.74391667,16.32891667,14.15704167,15.76135,35.83,35.84,35.59583333,35.72166667,35.44666667,35.15166667,35.69416667,35.8225,35.35916667,35.50833333
6,26,15,40,14.94515,15.58295833,16.20375,15.27693333,13.588925,13.460075,14.730075,16.32460833,14.1547,15.76215,35.78083333,35.84333333,35.58083333,35.71333333,35.43166667,35.105,35.67083333,35.83,35.30083333,35.43333333
6,26,16,41,14.92846667,15.57631667,16.19605833,15.25560833,13.5871,13.45935,14.695075,16.31801667,14.14985,15.75970833,35.84,35.85333333,35.605,35.74833333,35.42083333,35.29,35.69,35.86666667,35.3175,35.53833333
6,26,17,42,14.90283333,15.57486667,16.17795833,15.239875,13.58493333,13.45615833,14.66655833,16.2744,14.14625,15.73335833,35.87166667,35.91333333,35.55666667,35.83666667,35.46333333,35.2975,35.74416667,35.84666667,35.38833333,35.53
6,26,18,43,14.90795833,15.5872,16.20014167,15.28855833,13.584225,13.46535833,14.69335,16.286075,14.14413333,15.733925,35.73333333,35.92916667,35.61416667,35.85,35.38166667,35.38333333,35.5125,35.7925,35.42083333,35.68
